Name,Date,Century,Wikipedia_Link
Karen Barad,born 1956,20th,https://en.wikipedia.org/wiki/Karen_Barad
Amiri Baraka,1934??014,20th,https://en.wikipedia.org/wiki/Amiri_Baraka
Jos̩ Barata-Moura,born 1948,20th,https://en.wikipedia.org/wiki/Jos%C3%A9_Barata-Moura
Renaud Barbaras,born 1955,20th,https://en.wikipedia.org/wiki/Renaud_Barbaras
Ian Barbour,1923??013,20th,https://en.wikipedia.org/wiki/Ian_Barbour
Sidi Mohamed Barkat,born 1948,20th,https://en.wikipedia.org/wiki/Sidi_Mohamed_Barkat
Jason Barker,born 1971,20th,https://en.wikipedia.org/wiki/Jason_Barker
Stephen F. Barker,1927??019,20th,https://en.wikipedia.org/wiki/Stephen_F._Barker
Hazel Barnes,1915??008,20th,https://en.wikipedia.org/wiki/Hazel_Barnes
Jonathan Barnes,born 1942[b][c],20th,https://en.wikipedia.org/wiki/Jonathan_Barnes
Marcia Baron,born 1955,20th,https://en.wikipedia.org/wiki/Marcia_Baron
William Barrett,1913??992,20th,https://en.wikipedia.org/wiki/William_Barrett_(philosopher)
Brian Barry,1936??009[b][c],20th,https://en.wikipedia.org/wiki/Brian_Barry
Norman P. Barry,1944??008,20th,https://en.wikipedia.org/wiki/Norman_P._Barry
Roland Barthes,1915??980[a][c][d],20th,https://en.wikipedia.org/wiki/Roland_Barthes
Lauren Swayne Barthold,born 1965,20th,https://en.wikipedia.org/wiki/Lauren_Swayne_Barthold
Sandra Bartky,1935??016,20th,https://en.wikipedia.org/wiki/Sandra_Bartky
Steven James Bartlett,born 1945,20th,https://en.wikipedia.org/wiki/Steven_James_Bartlett
W. W. Bartley III,1934??990,20th,https://en.wikipedia.org/wiki/W._W._Bartley_III
Renate Bartsch,born 1939,20th,https://en.wikipedia.org/wiki/Renate_Bartsch
Shadi Bartsch,born 1966,20th,https://en.wikipedia.org/wiki/Shadi_Bartsch
Jon Barwise,1942??000,20th,https://en.wikipedia.org/wiki/Jon_Barwise
Jacques Barzun,1907??012,20th,https://en.wikipedia.org/wiki/Jacques_Barzun
David Basinger,born 1947,20th,https://en.wikipedia.org/wiki/David_Basinger
Diderik Batens,born 1944,20th,https://en.wikipedia.org/wiki/Diderik_Batens
Gregory Bateson,1904??980,20th,https://en.wikipedia.org/wiki/Gregory_Bateson
David Batstone,born 1958,20th,https://en.wikipedia.org/wiki/David_Batstone
Jean Baudrillard,1929??007[c][d][e],20th,https://en.wikipedia.org/wiki/Jean_Baudrillard
Nancy Bauer,born 1960,20th,https://en.wikipedia.org/wiki/Nancy_Bauer_(philosopher)
