Name,Date,Century,Wikipedia_Link
Moses Mendelssohn,1729??786[a][b][c][d][e],18th,https://en.wikipedia.org/wiki/Moses_Mendelssohn
James Mill,1773??836[a][b][c][d][e],18th,https://en.wikipedia.org/wiki/James_Mill
John Millar,1735??801[d],18th,https://en.wikipedia.org/wiki/John_Millar_(philosopher)
Lord Monboddo,1714??799[d],18th,"https://en.wikipedia.org/wiki/James_Burnett,_Lord_Monboddo"
Motoori Norinaga,1730??801[d],18th,https://en.wikipedia.org/wiki/Motoori_Norinaga
Novalis,1772??801[a],18th,https://en.wikipedia.org/wiki/Novalis
Lorenz Oken,1779??851[d],18th,https://en.wikipedia.org/wiki/Lorenz_Oken
James Oswald,1703??793[d],18th,https://en.wikipedia.org/w/index.php?title=James_Oswald_(philosopher)&action=edit&redlink=1
Thomas Paine,1737??809[a][b][c][d],18th,https://en.wikipedia.org/wiki/Thomas_Paine
William Paley,1743??805[a][d],18th,https://en.wikipedia.org/wiki/William_Paley
Thomas Percival,1740??804[a],18th,https://en.wikipedia.org/wiki/Thomas_Percival
Issac de Pinto,1715??787,18th,https://en.wikipedia.org/wiki/Issac_de_Pinto
Richard Price,1723??791[a][b][c][d],18th,https://en.wikipedia.org/wiki/Richard_Price
Joseph Priestley,1733??804[a][b][c][d],18th,https://en.wikipedia.org/wiki/Joseph_Priestley
Daniel Raymond,1786??849,18th,https://en.wikipedia.org/wiki/Daniel_Raymond
August Wilhelm Rehberg,fl. late 18th century[e]*,18th,https://en.wikipedia.org/wiki/August_Wilhelm_Rehberg
Thomas Reid,1710??796[a][b][c][d][e],18th,https://en.wikipedia.org/wiki/Thomas_Reid
Karl Leonhard Reinhold,1757??823[a][d][e],18th,https://en.wikipedia.org/wiki/Karl_Leonhard_Reinhold
David Ricardo,1772??823,18th,https://en.wikipedia.org/wiki/David_Ricardo
Antonio Rosmini-Serbati,1797??855[a][d][e],18th,https://en.wikipedia.org/wiki/Antonio_Rosmini-Serbati
