Id,Label,Type,MovieCount,Genres
신재영_Act_1,신재영,Actor,2,"['사극', '액션', '스릴러']"
권태호_Act_1,권태호,Actor,1,"['액션', '범죄']"
천정희_Act_1,천정희,Actor,1,"['액션', '서부극(웨스턴)', '코미디']"
장석준_Act_1,장석준,Actor,1,"['액션', 'SF', '판타지']"
정예지_Act_1,정예지,Actor,1,['액션']
황재열_Act_1,황재열,Actor,1,"['액션', '코미디']"
김우영_Act_1,김우영,Actor,1,"['액션', '드라마']"
구본웅_Act_1,구본웅,Actor,1,['액션']
손대민_Act_1,손대민,Actor,3,"['사극', '액션', '드라마']"
이화정_Act_1,이화정,Actor,1,"['액션', '드라마']"
김정회_Act_1,김정회,Actor,1,"['드라마', '가족']"
방정민_Act_1,방정민,Actor,1,['드라마']
조원희_Act_1,조원희,Actor,1,"['액션', '범죄']"
조강위_Act_1,조강위,Actor,1,['액션']
서이숙_Act_1,서이숙,Actor,1,"['공포(호러)', '스릴러']"
김류경_Act_1,김류경,Actor,4,"['드라마', '범죄']"
임연비_Act_1,임연비,Actor,1,"['공포(호러)', '판타지']"
김태근_Act_1,김태근,Actor,2,"['액션', '드라마']"
김경환_Act_1,김경환,Actor,1,['코미디']
김용석_Act_1,김용석,Actor,2,"['액션', '드라마', '스릴러', '코미디']"
김민정_Act_1,김민정,Actor,1,"['공포(호러)', '스릴러']"
전누림_Act_1,전누림,Actor,1,['드라마']
김동화_Act_1,김동화,Actor,1,"['액션', '드라마']"
오만석_Act_1,오만석,Actor,2,"['드라마', '가족']"
주보비_Act_1,주보비,Actor,3,"['액션', '드라마', '범죄']"
이규영_Act_1,이규영,Actor,1,['액션']
윤인조_Act_1,윤인조,Actor,1,['드라마']
염지영_Act_1,염지영,Actor,1,['드라마']
박성준_Act_1,박성준,Actor,1,"['액션', '코미디']"
이충훈_Act_1,이충훈,Actor,1,"['액션', '범죄']"
김은민_Act_1,김은민,Actor,1,"['공포(호러)', '미스터리']"
고기혁_Act_1,고기혁,Actor,1,"['드라마', '액션']"
예수정_Act_1,예수정,Actor,1,"['액션', '코미디']"
김경우_Act_1,김경우,Actor,1,['액션']
성여진_Act_1,성여진,Actor,1,['드라마']
이지운_Act_1,이지운,Actor,2,"['액션', '드라마']"
김석진_Act_1,김석진,Actor,1,['공연']
설재근_Act_1,설재근,Actor,1,"['스릴러', '범죄']"
민규_Act_1,민규,Actor,1,"['공연', '다큐멘터리']"
박효근_Act_1,박효근,Actor,4,"['드라마', '공포(호러)', '판타지', '범죄']"
최원영_Act_1,최원영,Actor,1,"['공포(호러)', '스릴러', '미스터리']"
김건우_Act_1,김건우,Actor,2,"['드라마', '코미디']"
조근직_Act_1,조근직,Actor,2,"['액션', '코미디', 'SF', '서부극(웨스턴)', '가족', '멜로/로맨스']"
임철형_Act_1,임철형,Actor,2,"['드라마', '스릴러', '범죄']"
김동현_Act_1,김동현,Actor,4,"['드라마', '액션', '코미디']"
서이서_Act_1,서이서,Actor,1,['멜로/로맨스']
전광진_Act_1,전광진,Actor,1,"['액션', '스릴러']"
박경혜_Act_1,박경혜,Actor,4,"['액션', '드라마', '스릴러', '범죄']"
김회진_Act_1,김회진,Actor,1,['드라마']
김민재_Act_1,김민재,Actor,5,"['액션', '코미디', '범죄', '드라마', '미스터리', '공포(호러)']"
차태현_Act_1,차태현,Actor,1,['액션']
