Name,Date,Century,Wikipedia_Link
Basilides,c. 117 ??138[a],1st??0th,https://en.wikipedia.org/wiki/Basilides
Bede,672/3??35[b],1st??0th,https://en.wikipedia.org/wiki/Bede
Bhartrhari,5th century[e],1st??0th,https://en.wikipedia.org/wiki/Bhartrhari
Bodhidharma,c. 440 ??528,1st??0th,https://en.wikipedia.org/wiki/Bodhidharma
Anicius Manlius Severinus Boethius,480 ??524 or 525[a][c][d][e][f],1st??0th,https://en.wikipedia.org/wiki/Anicius_Manlius_Severinus_Boethius
Buddhaghosa,5th century[a],1st??0th,https://en.wikipedia.org/wiki/Buddhaghosa
Burchard of Worms,c. 950 ??1025[b],1st??0th,https://en.wikipedia.org/wiki/Burchard_of_Worms
Calcidius,4th century[e],1st??0th,https://en.wikipedia.org/wiki/Calcidius
Candidus Wizo,fl. 793 ??803[b],1st??0th,https://en.wikipedia.org/wiki/Candidus_Wizo
Candrakirti,born c. 600,1st??0th,https://en.wikipedia.org/wiki/Candrakirti
Celsus of Alexandria,2nd century[a][e],1st??0th,https://en.wikipedia.org/wiki/Celsus
Candrakirti,7th century,1st??0th,https://en.wikipedia.org/wiki/Candrakirti
Cheng Hsuan,127 ??200[e],1st??0th,https://en.wikipedia.org/wiki/Cheng_Hsuan
Chih Tun,314 ??366[e],1st??0th,https://en.wikipedia.org/wiki/Chih_Tun
Chrysanthius,4th century,1st??0th,https://en.wikipedia.org/wiki/Chrysanthius
Clement of Alexandria,2nd ??3rd century[a][e],1st??0th,https://en.wikipedia.org/wiki/Clement_of_Alexandria
Cleomedes,2nd century[e],1st??0th,https://en.wikipedia.org/wiki/Cleomedes
Cyril of Alexandria,376 ??444,1st??0th,https://en.wikipedia.org/wiki/Cyril_of_Alexandria
Damascius,c. 462 ??540[a][e],1st??0th,https://en.wikipedia.org/wiki/Damascius
David the Invincible,late 6th century[f],1st??0th,https://en.wikipedia.org/wiki/David_the_Invincible
David ibn Merwan al-Mukkamas,9th century[b],1st??0th,https://en.wikipedia.org/wiki/David_ibn_Merwan_al-Mukkamas
Dawud ibn Khalaf,815/8 ??874[b],1st??0th,https://en.wikipedia.org/wiki/Dawud_ibn_Khalaf
Demetrius the Cynic,1st century,1st??0th,https://en.wikipedia.org/wiki/Demetrius_the_Cynic
Dharmakirti,c. 7th century[a][e],1st??0th,https://en.wikipedia.org/wiki/Dharmakirti
Dignaga,c. 480 ??c. 540[e],1st??0th,https://en.wikipedia.org/wiki/Dignaga
Diogenes Laërtius,3rd century[c][d][e],1st??0th,https://en.wikipedia.org/wiki/Diogenes_La%C3%ABrtius
Diogenes of Oenoanda,2nd century[e],1st??0th,https://en.wikipedia.org/wiki/Diogenes_of_Oenoanda
Dirar ibn 'Amr,c. 728 ??815[b],1st??0th,https://en.wikipedia.org/w/index.php?title=Dirar_ibn_%27Amr&action=edit&redlink=1
Dunash ibn Tamim,10th century[b],1st??0th,https://en.wikipedia.org/wiki/Dunash_ibn_Tamim
Elias,6th century[f],1st??0th,https://en.wikipedia.org/wiki/Elias_(Greek_scholar)
Epictetus,55 ??c. 135[c][d][e][f]*,1st??0th,https://en.wikipedia.org/wiki/Epictetus
Johannes Scotus Eriugena,c. 800 ??c. 880[a][b][c][d][e][f],1st??0th,https://en.wikipedia.org/wiki/Johannes_Scotus_Eriugena
Eusebius of Caesarea,264??39[e],1st??0th,https://en.wikipedia.org/wiki/Eusebius_of_Caesarea
Al-Farabi,870 ??950[a][b][c][d][e],1st??0th,https://en.wikipedia.org/wiki/Al-Farabi
Favorinus,c. 80 ??c. 150,1st??0th,https://en.wikipedia.org/wiki/Favorinus
Fazang,643 ??712[e],1st??0th,https://en.wikipedia.org/wiki/Fazang
Fridugisus,9th century[b],1st??0th,https://en.wikipedia.org/wiki/Fridugisus
Fulbert of Chartres,c. 960 ??1028[b],1st??0th,https://en.wikipedia.org/wiki/Fulbert_of_Chartres
Gaius Musonius Rufus,110 ??180[e],1st??0th,https://en.wikipedia.org/wiki/Gaius_Musonius_Rufus
Galen,131 ??201[a][c][d][e],1st??0th,https://en.wikipedia.org/wiki/Galen
Gaudapadacharya,c. 7th century,1st??0th,https://en.wikipedia.org/wiki/Gaudapada
Gerbert of Aurillac,c. 950 ??1003[e],1st??0th,https://en.wikipedia.org/wiki/Pope_Silvester_II
Gottschalk of Orbais,c. 805 ??868[b],1st??0th,https://en.wikipedia.org/wiki/Gottschalk_of_Orbais
Pope Gregory I,540 ??604[a][c][d],1st??0th,https://en.wikipedia.org/wiki/Pope_Gregory_I
Gregory of Nyssa,c. 335 ??398[a],1st??0th,https://en.wikipedia.org/wiki/Gregory_of_Nyssa
Han Yu,768 ??824[a][e],1st??0th,https://en.wikipedia.org/wiki/Han_Yu
Heiric of Auxerre,841 ??876/7[b],1st??0th,https://en.wikipedia.org/wiki/Heiric_of_Auxerre
Hierocles the Stoic,2nd century[e],1st??0th,https://en.wikipedia.org/wiki/Hierocles_(Stoic)
Himerius,315 ??386,1st??0th,https://en.wikipedia.org/wiki/Himerius
Hincmar,806 ??882[b],1st??0th,https://en.wikipedia.org/wiki/Hincmar
Ho Yen,190 ??249[a],1st??0th,https://en.wikipedia.org/wiki/Ho_Yen
Hsi K'ang,223 ??262[a],1st??0th,https://en.wikipedia.org/wiki/Hsi_K%27ang
Hunayn ibn Ishaq,808 ??877[b],1st??0th,https://en.wikipedia.org/wiki/Hunayn_ibn_Ishaq
Hypatia of Alexandria,370 ??415[a][e],1st??0th,https://en.wikipedia.org/wiki/Hypatia_of_Alexandria
Iamblichus,c. 245 ??c. 325[e],1st??0th,https://en.wikipedia.org/wiki/Iamblichus_(philosopher)
Yahya ibn Adi,893 ??974[e],1st??0th,https://en.wikipedia.org/wiki/Yahya_ibn_Adi
Ibn ar-Rawandi,c. 910[e],1st??0th,https://en.wikipedia.org/wiki/Ibn_ar-Rawandi
