Source,Target
Akspada Gautama,Gangesha Upadhyaya
Akspada Gautama,Jinul
Akspada Gautama,Jayatirtha
Akspada Gautama,Ramanuja
Akspada Gautama,Vedanta Desika
Akspada Gautama,Zhu Xi
Akspada Gautama,Chaitanya Mahaprabhu
Akspada Gautama,Fujiwara Seika
Akspada Gautama,Raghunatha Siromani
Akspada Gautama,Vyasatirtha
Akspada Gautama,Yi Hwang
Akspada Gautama,Yi I
Akspada Gautama,Huang Zongxi
Akspada Gautama,Wang Fuzhi
Akspada Gautama,Motoori Norinaga
Akspada Gautama,Feng Youlan
Akspada Gautama,Kang Youwei
Akspada Gautama,Liu Shaoqi
Akspada Gautama,Mao Zedong
Akspada Gautama,Sun Yat-sen
Akspada Gautama,Julian Baggini
Akspada Gautama,Johannes Bronkhorst
Akspada Gautama,Jaegwon Kim
Akspada Gautama,Bimal Krishna Matilal
Akspada Gautama,Mou Zongsan
Antiochus of Ascalon,Arcesilaus
Antiochus of Ascalon,Aristotle
Antiochus of Ascalon,Titus Pomponius Atticus
Antiochus of Ascalon,Carneades
Antiochus of Ascalon,Cicero
Antiochus of Ascalon,Clitomachus
Antiochus of Ascalon,Crantor
Antiochus of Ascalon,Heraclides Ponticus
Antiochus of Ascalon,Menedemus
Antiochus of Ascalon,Metrodorus of Stratonicea
Antiochus of Ascalon,Panaetius
Antiochus of Ascalon,Philo of Larissa
Antiochus of Ascalon,Philodemus of Gadara
Antiochus of Ascalon,Plato
Antiochus of Ascalon,Pyrrho
Antiochus of Ascalon,Speusippus
Antiochus of Ascalon,Xenocrates
Antiochus of Ascalon,Aedesius
Antiochus of Ascalon,Albinus
Antiochus of Ascalon,Alcinous
Antiochus of Ascalon,Ammonius Hermiae
Antiochus of Ascalon,Ammonius Saccas
Antiochus of Ascalon,Apuleius
Antiochus of Ascalon,Arius
Antiochus of Ascalon,Calcidius
Antiochus of Ascalon,Chrysanthius
Antiochus of Ascalon,Clement of Alexandria
Antiochus of Ascalon,Damascius
Antiochus of Ascalon,David the Invincible
Antiochus of Ascalon,Al-Farabi
Antiochus of Ascalon,Iamblichus
Antiochus of Ascalon,Longinus
Antiochus of Ascalon,Gaius Marius Victorinus
Antiochus of Ascalon,Numenius of Apamea
Antiochus of Ascalon,Plotinus
Antiochus of Ascalon,Porphyry
Antiochus of Ascalon,Proclus
Antiochus of Ascalon,Pseudo-Dionysius the Areopagite
Antiochus of Ascalon,Sextus Empiricus
Antiochus of Ascalon,Syrianus
Antiochus of Ascalon,Anselm
Antiochus of Ascalon,Bonaventure
Antiochus of Ascalon,Henry of Ghent
Antiochus of Ascalon,Meister Eckhart
Antiochus of Ascalon,Paul of Venice
Antiochus of Ascalon,Theodoric of Freiberg
Antiochus of Ascalon,Giordano Bruno
Antiochus of Ascalon,Marsilio Ficino
Antiochus of Ascalon,Giovanni Pico della Mirandola
Antiochus of Ascalon,Ralph Cudworth
