movie_cd,title,director,actors,actor_count,release_date,genre,genre_count,production_year,show_time
20192149,어린 처제 3 - 무삭제판,계장혁,[],0,20190814,['멜로/로맨스'],1,2019,96
20193166,접대 전문 여비서 무삭제,윤준세,[],0,20190813,['드라마'],1,2019,87
20195244,아름다운 장모,김종민,"['윤재', '조완진']",2,20190813,['기타'],1,2019,71
20195061,부부교환의 목적,김종민,"['조완진', '설영']",2,20190809,['드라마'],1,2019,78
20194963,음란한 여자들의 수다,이지은,[],0,20190805,"['성인물(에로)', '멜로/로맨스']",2,2019,97
20193425,위기의 엄마들,이재훈,[],0,20190805,"['멜로/로맨스', '드라마']",2,2019,62
20192245,맛있는 섹스 그리고 여군,윤중부,[],0,20190802,['드라마'],1,2019,55
20189803,막다른 골목의 추억,최현영,"['최수영', '타나카 슌스케', '안보현', '동현배', '배누리', '이정민', '히라타 카오루', '이정민', '유경']",9,20190404,['멜로/로맨스'],1,2018,88
20192921,친구엄마 : 하고 싶은 날,김진수,[],0,20190823,['멜로/로맨스'],1,2019,60
20193083,착한 형수 : 참을 수 없는 날,김진수,[],0,20190823,['멜로/로맨스'],1,2019,60
20192941,착한 여친 엄마,김진수,[],0,20190823,"['멜로/로맨스', '드라마']",2,2019,60
20194942,콩쥐별전 - 전주성의 비밀,배효상,"['김보미', '김정우', '김재정', '이수정', '박윤희']",5,20190727,"['애니메이션', '드라마']",2,2019,53
20191831,옆집아가씨 무삭제판,신성진,[],0,20190801,['기타'],1,2019,96
20194141,어우동과 춘향뎐,이동현,[],0,20190809,['멜로/로맨스'],1,2019,77
20173388,메모리즈,이수성,"['이선구', '한주영', '한주영', '김도연', '안민영', '김민혁', '이승룡', '김도연', '고원', '홍가']",10,20190425,"['드라마', '가족', '판타지']",3,2017,87
20193273,젊은 미망인 무삭제판,한동호,[],0,20190801,"['드라마', '멜로/로맨스']",2,2018,90
20194910,어린 이모 2,정진호,[],0,20190822,['멜로/로맨스'],1,2019,74
20188404,암전,김진원,"['서예지', '진선규', '서석규', '서정우', '진선규', '김보라', '차엽', '지윤호', '조재영', '조아라', '김미경', '남태부', '손선아', '이성교', '김흥열', '차우진', '윤정로', '주종혁', '김도건', '김선동', '김재인', '신소이', '신지인', '이태규', '추정훈', '한도담']",26,20190815,"['미스터리', '공포(호러)']",2,2018,85
20195176,친구부부와교환섹스-무삭제,정민용,[],0,20190820,['멜로/로맨스'],1,2019,82
20180825,미성년,김윤석,"['염정아', '김소진', '김혜준', '박세진', '김윤석', '김희원', '이희준', '염혜란', '이정은', '정종준', '이상희', '미람', '김혜윤', '정이랑', '전수빈', '우민규', '김대우', '곽재훈', '손유리', '박예림', '차상미', '권유나', '손가현', '전승유', '박중신', '유창한', '박화영', '서병철', '성도현', '신치영', '신하준', '유미진', '유순웅', '여이레', '김현석', '김현숙', '이상홍', '곽나연', '허다정', '이준하', '이지성', '홍희자', '황동욱', '김종윤', '김종한', '황재열', '정기욱', '김영주', '이명하', '김왕도', '주재윤', '이윤재', '송은정']",53,20190411,['드라마'],1,2018,95
20186645,밤의 문이 열린다,유은정,"['한해인', '전소니', '감소현', '최솔희', '성인자', '이승찬', '홍승이', '조영지', '이근후', '이자민', '나연서', '라경덕', '곽은미', '김강민', '박종범', '안승혁', '유준상', '이주환', '허수영', '장우진', '김가은', '조성훈', '윤진', '고기훈', '이도윤', '김다운', '채정숙', '김보식', '임민재', '이현인', '이유미', '정욱', '지정훈', '최경호', '박완', '오예석', '엄두환', '손한이', '김덕수', '서정원', '박민일', '김신재', '이완민']",43,20190815,"['판타지', '드라마']",2,2018,89
20183132,사랑의 선물,김규민,"['문영동', '김소민', '김려원', '강성용', '정재영', '라경덕', '김종구', '류송', '임은연', '송창규', '권영일', '김금옥', '박지영', '박진우', '오상철', '김석규', '오진하', '정재영', '장원선', '제현경', '김정수', '이소희', '황인자', '정보경', '정상혁', '김하나', '임장환', '김오복', '이향미', '한태진', '문유빈', '정유진', '신윤아', '이광익', '이나건', '이채하', '장순미', '박승현', '오상철']",39,20190815,['드라마'],1,2018,88
20193202,젊은 새엄마들,김진수,[],0,20190816,['멜로/로맨스'],1,2019,60
20192482,스와핑 : 대학 동창들,김진수,[],0,20190816,['멜로/로맨스'],1,2019,59
20193981,가슴큰엄마들,차지민,[],0,20190816,['멜로/로맨스'],1,2019,70
