Source,Target,Type,Id,Label,Weight
김성환_Dir_1,홍민수_Act_1,Undirected,5696,,1
김성환_Dir_1,홍예지_Act_1,Undirected,5697,,1
김성환_Dir_1,홍택근_Act_1,Undirected,5698,,1
김성환_Dir_1,황혜란_Act_1,Undirected,5699,,1
김수인_Dir_1,강안나_Act_1,Undirected,5700,,1
김수인_Dir_1,고서희_Act_1,Undirected,5701,,1
김수인_Dir_1,김태준_Act_1,Undirected,5702,,1
김수인_Dir_1,박상남_Act_1,Undirected,5703,,1
김수인_Dir_1,배유람_Act_1,Undirected,5704,,1
김수인_Dir_1,신소율_Act_1,Undirected,5705,,1
김수인_Dir_1,안소희_Act_1,Undirected,5706,,1
김수인_Dir_1,오태경_Act_1,Undirected,5707,,2
김수인_Dir_1,윤준원_Act_1,Undirected,5708,,2
김수인_Dir_1,장서희_Act_1,Undirected,5709,,1
김수인_Dir_1,장준휘_Act_1,Undirected,5710,,1
김수인_Dir_1,정인기_Act_1,Undirected,5711,,1
김수인_Dir_1,조은유_Act_1,Undirected,5712,,1
김수인_Dir_1,조형균_Act_1,Undirected,5713,,1
김수인_Dir_1,최소윤_Act_1,Undirected,5714,,1
김수인_Dir_1,타쿠야_Act_1,Undirected,5715,,1
김수정_Dir_1,경수빈_Act_1,Undirected,5716,,1
김수정_Dir_1,기현우_Act_1,Undirected,5717,,1
김수정_Dir_1,김건희_Act_1,Undirected,5718,,1
김수정_Dir_1,김노진_Act_1,Undirected,5719,,1
김수정_Dir_1,김미미_Act_1,Undirected,5720,,1
김수정_Dir_1,김민우_Act_1,Undirected,5721,,1
김수정_Dir_1,김성수_Act_1,Undirected,5722,,1
김수정_Dir_1,김원기_Act_1,Undirected,5723,,1
김수정_Dir_1,김정민_Act_1,Undirected,5724,,1
김수정_Dir_1,김진성_Act_1,Undirected,5725,,1
김수정_Dir_1,김진홍_Act_1,Undirected,5726,,1
김수정_Dir_1,문해민_Act_1,Undirected,5727,,1
김수정_Dir_1,박규남_Act_1,Undirected,5728,,1
김수정_Dir_1,박서함_Act_1,Undirected,5729,,1
김수정_Dir_1,박재찬_Act_1,Undirected,5730,,1
김수정_Dir_1,박종환_Act_1,Undirected,5731,,1
김수정_Dir_1,박준환_Act_1,Undirected,5732,,1
김수정_Dir_1,변은지_Act_1,Undirected,5733,,1
김수정_Dir_1,서갑숙_Act_1,Undirected,5734,,1
김수정_Dir_1,서지원_Act_1,Undirected,5735,,1
김수정_Dir_1,석유진_Act_1,Undirected,5736,,1
김수정_Dir_1,손범서_Act_1,Undirected,5737,,1
김수정_Dir_1,송명호_Act_1,Undirected,5738,,1
김수정_Dir_1,송예림_Act_1,Undirected,5739,,1
김수정_Dir_1,송지오_Act_1,Undirected,5740,,1
김수정_Dir_1,신민선_Act_1,Undirected,5741,,1
김수정_Dir_1,신평식_Act_1,Undirected,5742,,1
김수정_Dir_1,안제현_Act_1,Undirected,5743,,1
김수정_Dir_1,양지웅_Act_1,Undirected,5744,,1
김수정_Dir_1,양흥주_Act_1,Undirected,5745,,1
김수정_Dir_1,우주명_Act_1,Undirected,5746,,1
김수정_Dir_1,유민곤_Act_1,Undirected,5747,,1
김수정_Dir_1,이봄_Act_1,Undirected,5748,,1
김수정_Dir_1,이유진_Act_1,Undirected,5749,,1
김수정_Dir_1,이정혁_Act_1,Undirected,5750,,1
김수정_Dir_1,이진성_Act_1,Undirected,5751,,1
김수정_Dir_1,이태경_Act_1,Undirected,5752,,1
김수정_Dir_1,이한주_Act_1,Undirected,5753,,1
김수정_Dir_1,이혜민_Act_1,Undirected,5754,,1
김수정_Dir_1,장선유_Act_1,Undirected,5755,,1
김수정_Dir_1,정주원_Act_1,Undirected,5756,,1
김수정_Dir_1,정준교_Act_1,Undirected,5757,,1
김수정_Dir_1,조성진_Act_1,Undirected,5758,,1
김수정_Dir_1,차재훈_Act_1,Undirected,5759,,1
김수정_Dir_1,최수견_Act_1,Undirected,5760,,1
김수정_Dir_1,한태경_Act_1,Undirected,5761,,1
김수정_Dir_1,한태희_Act_1,Undirected,5762,,1
김수정_Dir_1,허이진_Act_1,Undirected,5763,,1
김시우_Dir_1,강정탁_Act_1,Undirected,5764,,1
