Source,Target,Type,Weight
김재훈_Dir_1,장동윤_Act_1,Undirected,1
김재훈_Dir_1,장솔_Act_1,Undirected,1
김재훈_Dir_1,장재호_Act_1,Undirected,2
김재훈_Dir_1,전한승_Act_1,Undirected,1
김재훈_Dir_1,전혜원_Act_1,Undirected,1
김재훈_Dir_1,정동근_Act_1,Undirected,1
김재훈_Dir_1,정세인_Act_1,Undirected,1
김재훈_Dir_1,정유진_Act_1,Undirected,1
김재훈_Dir_1,정주영_Act_1,Undirected,1
김재훈_Dir_1,최귀화_Act_1,Undirected,1
김재훈_Dir_1,최돈학_Act_1,Undirected,1
김재훈_Dir_1,최상재_Act_1,Undirected,1
김재훈_Dir_1,최윤빈_Act_1,Undirected,1
김재훈_Dir_1,추석영_Act_1,Undirected,1
김재훈_Dir_1,한서윤_Act_1,Undirected,3
김재훈_Dir_1,황보라_Act_1,Undirected,1
김재훈_Dir_1,황재열_Act_1,Undirected,1
김지운_Dir_1,강아름_Act_1,Undirected,1
김지운_Dir_1,곽동학_Act_1,Undirected,1
김지운_Dir_1,김동영_Act_1,Undirected,1
김지운_Dir_1,김문학_Act_1,Undirected,1
김지운_Dir_1,김민재_Act_1,Undirected,1
김지운_Dir_1,김성경_Act_1,Undirected,1
김지운_Dir_1,김성준_Act_1,Undirected,1
김지운_Dir_1,김인서_Act_1,Undirected,1
김지운_Dir_1,김재건_Act_1,Undirected,1
김지운_Dir_1,김중희_Act_1,Undirected,1
김지운_Dir_1,김홍국_Act_1,Undirected,1
김지운_Dir_1,나지엽_Act_1,Undirected,1
김지운_Dir_1,남지우_Act_1,Undirected,1
김지운_Dir_1,남회정_Act_1,Undirected,1
김지운_Dir_1,노아림_Act_1,Undirected,1
김지운_Dir_1,박예리_Act_1,Undirected,1
김지운_Dir_1,박정수_Act_1,Undirected,1
김지운_Dir_1,박정환_Act_1,Undirected,1
김지운_Dir_1,박혜정_Act_1,Undirected,1
김지운_Dir_1,배성일_Act_1,Undirected,1
김지운_Dir_1,송강호_Act_1,Undirected,1
김지운_Dir_1,신기환_Act_1,Undirected,1
김지운_Dir_1,심희영_Act_1,Undirected,1
김지운_Dir_1,엄태구_Act_1,Undirected,1
김지운_Dir_1,염혜란_Act_1,Undirected,1
김지운_Dir_1,오영훈_Act_1,Undirected,1
